Prev Close,Open,High,Low,VWAP,Volume,Turnover,Close
242.35,240.9,244,239.5,241.57,16289200,3.94E+14,241.5
241.5,244,245.2,242.05,243.91,11401300,2.78E+14,242.8
242.8,241.2,242.2,239.6,240.76,10521250,2.53E+14,240.8
240.8,243.1,243.8,241.8,242.83,8453750,2.05E+14,243.05
243.05,241,241,235.5,238.05,13776550,3.28E+14,235.9
235.9,231,231,225.55,228.4,19477700,4.45E+14,228.25
228.25,233.05,244.5,233.05,237.29,18374350,4.36E+14,241.25
241.25,243,243.7,235.3,238.68,18854900,4.50E+14,236.85
236.85,240.25,240.5,236.1,238.18,15921750,3.79E+14,238.35
238.35,243,246.5,241.5,244.13,17457450,4.26E+14,245.65
245.65,249.95,251.45,237.75,247.23,25677700,6.35E+14,242.15
242.15,245,245,238.45,241.13,11917700,2.87E+14,240.6
240.6,243.95,249,243,245.5,11819100,2.90E+14,244.55
244.55,241.1,245.5,240.75,243.33,7996100,1.95E+14,244.35
244.35,243.5,244.5,241,242.9,6481300,1.57E+14,242.15
242.15,241,242.5,238.9,240.7,8772050,2.11E+14,240.25
240.25,244,246.45,242.1,244.77,7153300,1.75E+14,243.9
243.9,243.5,244.85,242.15,243.63,4175350,1.02E+14,242.95
242.95,244,246,243.2,244.66,4379700,1.07E+14,245.5
245.5,246.25,246.25,241.55,243.4,3850350,9.37E+13,242.15
242.15,241,241,233.1,237.58,6824650,1.62E+14,235.95
235.95,236,237,227.05,231.68,8541550,1.98E+14,228.9
228.9,227,230.25,224.5,227.41,10162650,2.31E+14,229.25
229.25,227.9,229.4,221.6,225.29,12605400,2.84E+14,222.9
222.9,221.1,223,217.6,219.59,10982100,2.41E+14,221
221,222,223,212,219.58,12467500,2.74E+14,216.35
216.35,217.7,217.7,211.15,214.19,10572500,2.26E+14,212.2
212.2,210.25,218,207.65,212.29,19236750,4.08E+14,216
216,218,221.75,211.55,217.09,27115550,5.89E+14,213.6
213.6,211.05,217.7,206.5,209.59,19761700,4.14E+14,208.75
208.75,208.9,210.9,203,206.99,20282100,4.20E+14,204.35
204.35,201.5,201.95,188.5,194.7,23045600,4.49E+14,190.65
190.65,187.25,195.8,184.2,189.84,28804350,5.47E+14,189.95
189.95,191.75,193.5,184.55,188.9,21253550,4.01E+14,187.1
204.963,190.95,207,186.55,188.97,12419900,2.35E+14,188.55
188.55,187.05,207,172,183.2,19345150,3.54E+14,179.3
179.3,173,179.95,172.1,176.68,17136250,3.03E+14,176.25
176.25,178.5,182.5,175.55,179.38,16360750,2.93E+14,176.7
176.7,175.5,175.95,168.55,172.07,24598550,4.23E+14,170.1
170.1,169,188,166.1,179.59,51729750,9.29E+14,179.55
179.55,200,217.15,200,207.88,30655050,6.37E+14,216.85
216.85,209,229,205.6,217.83,39825300,8.68E+14,220.7
220.7,223.95,231.75,223.95,229.57,30297400,6.96E+14,231.35
231.35,233.45,242.95,233.45,241.81,14051100,3.40E+14,242.8
235.9,235,247.7,224.4,234.93,14482250,3.40E+14,239.2
239.2,248,251.2,236.35,247.12,17423200,4.31E+14,241.25
241.25,235.05,235.05,217.15,221.82,15986900,3.55E+14,217.75
217.75,215.8,219,206.9,212.67,21194100,4.51E+14,207.95
207.95,207,211.4,202.4,206.57,19068250,3.94E+14,208.05
208.05,210.85,218.25,209.6,214.62,15793800,3.39E+14,212.2
212.2,209.1,210,201.6,205.94,14707450,3.03E+14,206.6
206.6,208,216.75,197.8,205.7,14981550,3.08E+14,213.8
213.8,217.95,220,208.6,213.53,20484200,4.37E+14,209.9
209.9,209.2,211.45,205.5,208.61,12995400,2.71E+14,207.05
207.05,206.6,207.9,203.05,205.64,8193850,1.69E+14,203.85
203.85,203,209.5,201.15,204.12,11806600,2.41E+14,205.95
205.95,206.75,211.5,205.5,208.85,10921150,2.28E+14,210.55
210.55,211.9,213.2,205.5,208.68,10247300,2.14E+14,206.45
206.45,206.8,209.4,205,207.38,8497250,1.76E+14,208.1
208.1,209,210.55,207.1,208.79,6904900,1.44E+14,208.05
208.05,207.5,210.95,206.8,208.5,7013400,1.46E+14,209.25
209.25,205.65,209.5,205.65,207.82,6141850,1.28E+14,206.4
206.4,206.5,207.9,204.55,206.05,5397550,1.11E+14,206.4
206.4,205.5,206,196.1,201.29,8030600,1.62E+14,197.25
197.25,195.25,203.5,194.15,198.25,12571550,2.49E+14,199.4
199.4,204.8,209.4,203.5,208.3,11025750,2.30E+14,209.4
209.4,216,217.45,209.65,213.67,16770050,3.58E+14,210.9
210.9,211,215.75,210,213.28,12502400,2.67E+14,213.45
213.45,211.5,213.4,208.4,211,9975250,2.10E+14,209.25
209.25,209,210.25,206,208.03,10775300,2.24E+14,207.55
207.55,208,213.75,208,212.37,6137300,1.30E+14,213.35
213.35,213.95,214.45,210.9,212.69,6219600,1.32E+14,211.35
211.35,211.1,212.2,210.1,211.21,4365550,9.22E+13,211.55
211.55,212.1,213.45,211.1,212.44,4216750,8.96E+13,212.7
212.7,213.45,214.9,206.1,209.77,9857900,2.07E+14,207.35
207.35,206.25,208.1,205.1,206.97,4844150,1.00E+14,207.6
207.6,208.45,211.25,208.45,209.73,5124350,1.07E+14,210.7
210.7,211.55,211.85,208.1,209.57,3993450,8.37E+13,208.95
208.95,208.9,209,206.5,207.42,3857850,8.00E+13,207.35
207.35,207.15,207.15,204.25,205.59,5161700,1.06E+14,205.5
205.5,205.1,207.9,202.1,205.04,4453100,9.13E+13,203.3
203.3,202,203.2,198.5,200.74,9699950,1.95E+14,201.8
201.8,202.95,203.35,199.55,201.23,6495950,1.31E+14,200.05
200.05,199.05,199.05,191.4,195.31,7469400,1.46E+14,192.9
192.9,193.05,198,192.8,194.83,6327950,1.23E+14,195.8
195.8,195,207.5,194.75,201.26,7278000,1.46E+14,205.35
205.35,205.95,207.55,197,201.31,8776600,1.77E+14,197.95
197.95,197.6,200.95,196,197.78,5679200,1.12E+14,196.85
196.85,196.05,197,192.15,194.48,5822600,1.13E+14,194.3
194.3,195,197.9,194.5,195.54,4716950,9.22E+13,195.8
195.8,197.9,201,196.5,198.98,5289550,1.05E+14,197.2
197.2,196.2,196.9,192.5,194.27,4696850,9.12E+13,194.1
194.1,193.95,193.95,187.15,189.52,9216800,1.75E+14,188.15
188.15,187,191.9,185.4,188.52,8880950,1.67E+14,191.05
191.05,192,192.85,188.55,190.9,6648800,1.27E+14,190.55
190.55,192.5,194.9,188.3,191.37,5450600,1.04E+14,189.7
189.7,190.75,192.25,186.25,188.82,6429800,1.21E+14,190.7
190.7,191.15,191.15,180.5,186.38,9715800,1.81E+14,187
187,186.1,190,181.55,185.35,7023050,1.30E+14,187.8
187.8,190,192,187.25,189.45,6260800,1.19E+14,190.25
190.25,189.7,196,188.8,192.96,6942750,1.34E+14,195.35
195.35,196.25,198.5,193.1,196.22,7793850,1.53E+14,195.1
195.1,193.25,194,188.55,191.1,5772250,1.10E+14,189.35
189.35,188.15,191.5,185.75,188.28,5791200,1.09E+14,188.8
188.8,192.05,192.95,187.85,190.19,4973450,9.46E+13,188.5
188.5,187.55,195,185.85,190.01,10020950,1.90E+14,193.35
193.35,194.5,198,191.8,195.01,16045900,3.13E+14,194.8
194.8,196.25,205.5,196.25,202.45,14445750,2.92E+14,201.75
201.75,212.2,214.7,209,211.93,11475300,2.43E+14,213.5
213.5,214.95,220.9,208.6,215.46,23731750,5.11E+14,210.7
210.7,209.95,215.25,209.55,213.01,10967450,2.34E+14,213.95
213.95,215,216,210.5,213.31,7101750,1.51E+14,211.55
211.55,210.55,216,206.05,209.61,9118100,1.91E+14,208.25
208.25,204.55,204.55,199.6,201.65,6246600,1.26E+14,202
202,203.45,216,195.45,199.59,6304450,1.26E+14,196.75
196.75,195,195,186.8,190.03,7849500,1.49E+14,188.7
188.7,188.15,190.65,184,187.49,6128200,1.15E+14,185.15
185.15,181.15,185.25,176.15,181.43,13392700,2.43E+14,182.95
182.95,185.4,186.35,183,184.71,7058450,1.30E+14,185.5
185.5,186.5,188.1,180.5,185.72,5585500,1.04E+14,187.15
187.15,188.75,188.9,182.1,184.21,4271200,7.87E+13,183.2
183.2,182.75,185.95,180.8,182.31,5730850,1.04E+14,183.45
183.45,182,187.75,182,185.66,3269600,6.07E+13,186.7
186.7,186,187,183.35,184.81,2821050,5.21E+13,184.25
184.25,183.65,187.9,183.05,185.37,3199150,5.93E+13,186.6
186.6,187.5,192.2,187.5,190.34,5731900,1.09E+14,191.7
191.7,192.15,192.95,187.45,189.68,5268400,9.99E+13,189.3
189.3,189.5,189.5,182.1,185.21,4153000,7.69E+13,182.85
182.85,182.55,184.6,177.85,181.37,7486400,1.36E+14,179.65
179.65,177.7,180.7,176.65,178.53,8285700,1.48E+14,177.85
177.85,177.25,190.3,173.75,180.38,12755750,2.30E+14,186.35
186.35,189.6,194.65,183.05,189.59,14217450,2.70E+14,189.4
189.4,183,183,177.25,180.52,7942250,1.43E+14,181.6
181.6,182,183.95,179.5,181.61,4642150,8.43E+13,180.65
180.65,181.9,183.3,180.3,181.87,3596550,6.54E+13,181.3
181.3,180.25,182.95,179.15,181.63,2612350,4.74E+13,180.85
180.85,180,186.4,179.7,182.95,7147250,1.31E+14,182.3
182.3,181,181,177.1,179.03,4818750,8.63E+13,179.75
179.75,178.1,184.9,176.75,182.05,6752800,1.23E+14,182.85
182.85,183.75,184.95,182,183.31,3980250,7.30E+13,183.15
183.15,182,184.55,181.85,183.29,2905650,5.33E+13,182.85
182.85,182,182.4,178.55,180.62,3923200,7.09E+13,179.7
179.7,180.45,192.3,180.45,188.59,7302800,1.38E+14,192.25
192.25,194,195.35,187.3,191,8672800,1.66E+14,188.05
188.05,187.1,189,185.3,187.13,4517750,8.45E+13,188.1
188.1,189.3,196,189.3,193.57,7091250,1.37E+14,194.8
194.8,194.5,196.1,190.2,193.1,6027750,1.16E+14,192.2
192.2,195,198.75,193.65,196.64,7059850,1.39E+14,195.05
195.05,194.5,197.5,192.75,194.25,4773200,9.27E+13,195.15
195.15,197.6,205.5,197.6,201.93,12818250,2.59E+14,204
204,204.95,204.95,199.6,201.92,7430700,1.50E+14,200.95
200.95,200.4,202,198.5,199.92,5456600,1.09E+14,200.55
200.55,204,210.75,204,208.48,5166900,1.08E+14,209.75
209.75,210.75,211,205.1,207.63,3726450,7.74E+13,206.65
206.65,209.5,220.5,209.5,216.55,10098300,2.19E+14,219.4
219.4,219.95,220,213.6,216.5,7447500,1.61E+14,214.2
214.2,212.55,217.25,212.55,215.46,7016100,1.51E+14,216.7
216.7,218,219,214.5,216.49,4696700,1.02E+14,215.3
215.3,215.1,218.45,213.8,216.64,6885700,1.49E+14,216.8
216.8,221.95,224.95,218.5,222.22,9667400,2.15E+14,220.35
220.35,218.75,221.9,217.35,219.36,7199100,1.58E+14,219.85
219.85,223.5,224.4,221.25,222.79,7252200,1.62E+14,222.6
222.6,220,223,218.5,220.64,5972500,1.32E+14,222.25
222.25,224,235.5,221.6,225.57,7681250,1.73E+14,231.1
231.1,235,247.3,233.55,243.04,13117950,3.19E+14,247.3
247.3,264.65,264.65,237.5,251.6,15216500,3.83E+14,241.15
241.15,233,247,233,241.07,13016800,3.14E+14,243.65
243.65,244,244.5,233.3,238.96,7685850,1.84E+14,234.95
234.95,233.5,237,228.1,232.78,8113650,1.89E+14,230.35
230.35,237,246.5,237,243.91,10437750,2.55E+14,246.1
246.1,252,261.15,252,256.89,18576950,4.77E+14,259.1
259.1,265,275,263.5,269.68,18446250,4.97E+14,268.3
268.3,273.75,276.15,267.65,271.79,11961600,3.25E+14,275.25
275.25,288,288,268.3,279.62,17977500,5.03E+14,274.25
274.25,269,278.5,268.5,273.56,21161700,5.79E+14,273.95
273.95,268.55,273,264,269.26,18290900,4.92E+14,267.8
